,0
218,Writer is 21+
219,"Phoenix, AZ"
220,
221,"Beauclair, Toussaint"
222,"Francollarts, Toussaint"
223,layout by @VIRAGOWITCHER
224,
225,East Yorkcestercershire
226, #Rᴇᴅᴄᴏᴀᴛ
227,
228,Toronto
229,Miami
230,"Chicago, IL"
231,
232,
233,
234,"Buffalo, NY"
235,
236,
237,with @VioletChaxs ;
238,
239,Aen Elle
240,╱⇢ pfp by tolmitias on DA
241,"Bloomfield Hills, MI"
242,
243,Bury St Edmunds
244,ᴋᴀᴇʀ ᴍᴏʀʜᴇɴ
245,"Rethymno,Greece"
246,"Perth, Western Australia"
247,"Brisbane, Queensland"
248,"England, United Kingdom"
249,"London, England"
250,
251,"Lincolnshire, 🇬🇧 "
252,United Kingdom
253,From 🇸🇬→Tweeting in 🇹🇭
254,"London, England"
255,"Athens, Greece"
256,"Brisbane, Queensland"
257,"11 Usuma Close, Maitama, Abuja"
258,"Queensland, Australia"
259,Austin
260,"Litchfield Park, AZ"
261,"Huntington Beach, CA"
262,Los Angeles CA
263,"Pueblo, Colorado"
264,
265,Australia
266,"Murfreesboro, TN"
267,"Murfreesboro, TN"
268,Memphis TN
269,Canada
270,
271,"Hartselle, Alabama USA"
272,"Hartselle, Alabama USA"
273,"Princeton, NJ"
274,
275,
276,"Manchester, England"
277,Beneath you.
278,"Chichester, England"
279,"Monroeville, AL"
280,Sunny South Florida
281,"Fort Lauderdale, FL"
282,
283,new delhi
284,"Calgary, Alberta, Canada"
285,Maine
286,
287,"Tucson, AZ"
288,"Fort Lauderdale, FL"
289,
290,"Phoenix, AZ"
291,"Scottsdale, AZ"
292,
293,Nottingham
294,"Scottsdale, AZ"
295,"Bucuresti, Romania"
296,"Bucuresti, Romania"
297,"Cambridge, UK"
298,"Chicago, IL"
299,"Frankfort, IL"
300,Northamptonshire
301,USA
302,"Fochabers, Scotland"
303,"Los Angeles, CA"
304,Canada
305,france / japan
306,Montreal
307,
308,"Delhi, India"
309,Rabat - Salé - Zemmour - Zaër
310,
311,"Louisville, KY"
312,
313,"Westport, CT"
314,"Niagara Falls, Ontario"
315,"Louisville, KY"
316,
317,España
318,"Viña del Mar, Chile"
319,Suffolk 
320,el ejido
321,el ejido
322,Life and Environmental Science
323,"Roubaix, France"
324,
325,Seattle -  Cobain
326,"Clerkenwell, London, UK"
327,
328,
329,
330,
331,Australia
332,"Sydney, New South Wales"
333,Earth
334,
335,"Montebello, CA"
336,"Malacca, Malaysia"
337,"NE Oklahoma, USA"
338,"Georgia, USA"
339,Mumbai
340,"Los Angeles, CA."
341,
342,"Highlands Ranch, Colorado"
343,Alabama
344,"Manchester, England"
345,"Bainbridge Island, WA"
346,"Manchester,England"
347,Los Angeles
348,
349,
350,"Maui, Hawaii"
351,
352,"Louth, Ireland"
353,Ireland
354,"Bedford, MA"
355,"Port St Lucie, FL"
356,"Norfolk, VA"
357,United States
358,Ireland
359,
360,Earth
361,
362,"Harare, Zimbabwe"
363,"Newberg, OR"
364,"Milan, Lombardy"
365,
366,585 6th Ave. New York NY 10011
367,"Baltimore, MD"
368,"Los Angeles, CA"
369,"Virginia, USA"
370,"Colonized Native Land; BK, NYC"
371,
372,
373,"Artist's hell, Canada"
374,Arizona
375,Michigan
376,"Parsippany, NJ"
377,Subway
378,New York City
379,United States
380,Europe 
381,"Calgary, Alberta, Canada"
382,"Jos, Nigeria"
383,Yorkshire and The Humber
384,
385,
386,Monaco
387,
388,
389,"Arusha, Tanzania "
390,Nigeria
391,USA
392,
393,"San Diego, CA"
394,
395,"Poplarville, MS"
396,
397,España
398,85 Dales Road Ipswich IP1 4JR
399,
400,
401,
402,
403,
404,
405,"North East, England"
406,"gay transmasc, white"
407,Dhaka
408," Lagos, Nigeria"
409,"Isheri, Ogun State, Nigeria"
410,looking for Psnaicsꗈꗈꗈꗈ
411,
412,"I Live In Osun, Nigeria"
413,"Ipele, Ondo state, Nigeria"
414,Memphis TN
415,Global Africa
416,"42.45648,-82.99684"
417,"Lagos, Nigeria"
418,
419,"Minnesota, USA"
420,Lyon
421,
422,OC
423,Goros Lair
424,"Lagos, Nigeria"
425,"Vermont, USA"
426,HMM
427,"SE Region, Victoria, AU."
428,
429,Paraparaumu Kapiti New Zealand
430,ALSIÓN.SOL CENTRAL D LA GALAXI
431,
432,1st
433,
434,
435,"Bedford, MA"
436,Ukraine/USA
437,"Auckland, New Zealand"
438,
439,Honolulu Hawaii
440,"gay transmasc, white"
441,at home
442,Over a grill or in a kitchen!
443,SG
444,"Oahu, Hawaii"
445,"Royal Botanic Gardens, Kew"
446,
447,USA
448,Madrid - Spain
449,
450,"Los Angeles, CA"
451,"London, England"
452,"London, England"
453,
454,
455,Los Angeles
456,Austria (No Kangoroos!)
457,"Bradford, Ontario"
458,
459,"Newberg, OR"
460,"Durham, NC"
461,New York City
462,Beautiful World
463,South Africa
464,
465,"Apapa, Lagos, Nigeria"
466,Arizona
467,"Windsor, Ontario"
468,"East Midlands, England"
469,"Windsor, Ontario"
470,
471,"Homestead, Florida"
472,
473,Los Angeles
474,Chicago
475,"South Carolina, USA"
476,"Athens, GA"
477,Florida
478,"Boca Grande, Florida"
479,
480,
481,in-between
482,"Planet Earth, Unfortunately "
483,"Victoria, BC"
484,"Drumree, Co. Meath, Ireland"
485,Charleston SC
486,
487,Milton Keynes
488,London
489,"New York, USA"
490,"Malacca, Malaysia"
491,"Malacca, Malaysia"
492,"Malacca, Malaysia"
493,Shropshire
494,"Kensal Rise, London"
495,Ukraine/USA
496,India
497,Canberra
498,Scotland
499,London
500,
501,United Kingdom
502,"Bradford and Leeds
"
503,Munich
504,
505,Antibes
506,UK
507,Italia
508,Antibes
509,"Lytham St. Annes, England"
510,España
511,India
512,Somewhere only we know.
513,
514,
515,India
516,💜
517,🌙
518,Suffolk UK
519,"Cape Town, South Africa"
520,"New Jersey, USA"
521,"Las Vegas, NV"
522,"Las Vegas, NV"
523,"Phoenix, AZ"
524,
525,
526,"Orange County, CA"
527,
528,"Oregon, Taiwan"
529,"Richmond, British Columbia"
530,
531,
532,Arizona
533,Wherever there is net!
534,Virginia
535,"The San Francisco Bay Area, CA"
536,"San Francisco, CA"
537,"London, England"
538,Washington
539,Hawaii
540,"New York, USA"
541,"Pennsylvania, USA"
542,🇨🇦
543,
544,España
545,España
546,"Walnut Creek, CA"
547,"Jalgaon, Maharashtra "
548,"Phoenix, AZ"
549,"Phoenix, AZ"
550,MD
551,"Montréal, Québec"
552,
553,"Warwickshire, U.K."
554,
555,"Solana Beach, CA"
556,Antibes
557,"Churchville, VA"
558,"Churchville, VA"
559,Northamptonshire
560,Qatar
561, United Kingdom
562,San Francisco
563,"Virginia, USA"
564,
565,"Gainesville, Florida, USA"
566,"Tokyo,Japan "
567,"Kingsville, Ontario"
568,
569,"Bronx, NY and rochester, NY "
570,"northwest Indiana, USA"
571,"Athens, GA"
572,Florida
573,
574,
575,Jamaica
576,
577,
578,
579,Tribhuvan University
580,"Baltimore, MD"
581,"Perth, Western Australia"
582,United States
583,
584,
585,"Canal Point, FL"
586,"Auckland, New Zealand"
587,"Bedford, MA"
588,
589,"Panama City Beach, FL"
590,"Nairobi, Kenya"
591,"Älvkarleby, Sverige"
592,El Mundo
593,Global
594,
595,London // New York // Cologne
596,Italy🇮🇹
597,
598,Bulgaria
599,India
600,United Kingdom
601,"Kampala, Uganda"
602,
603,Hawaii
604,"Brisbane, Queensland"
605,Michigan
606,
607,"Madrid, España"
608,
609,"Cape Town, South Africa"
610,"Surrey, UK"
611,"District of Columbia, USA"
612,
613,Sweden
614,"Adelaide, South Australia"
615,
616,
617,"Sydney, New South Wales"
618,"Tilburg, Nederland"
619,Australia
620,
621,"Valencia, Spain"
622,"Fochabers, Scotland"
623,
624,Spain
625,"Brisbane, Queensland"
626,Tennessee & Worldwide
627,
628,
629,Tokyo
630,Tokyo
631,"Vineland, NJ"
632,
633,
634,"Yonkers, NY"
635,vancouver
636,"Atlanta, GA"
637,The Cinema in My Mind=Universe
638,
639,Sverige
640,
641,"Las Vegas, NV"
642,"Artist's hell, Canada"
643,"London, England"
644,
645,
646,대한민국 서울
647,
648,"Roseville, CA"
649,"261 halstead ave, harrison, NY"
650,
651,名古屋市天白区
652,"Gold Coast, Queensland"
653,"Goodwill, dolls! xo"
654,"Goodwill, dolls! xo"
655,⛵ Boat
656,
657,Gulf area of southern U. S.
658,
659,"Pomona, CA"
660,
661,"New Orleans, LA"
662,
663,
664,"Peterborough, England"
665,"San Jose, CA"
666,Seattle
667,
668,"Westminster, CO"
669,
670,
671,
672,⛵ Boat
673,London
674,"England, United Kingdom"
675,Continental
676,Toronto
677,"Jerez de la Frontera, España"
678,Buenos Aires
679,"Minneapolis, MN"
680,"Laghman, Afghanistan"
681,"New York, NY"
682,Canada
683,"West Palm Beach, FL🇻🇪🇺🇸"
684,India
685,~QUAKER-TOWN ~PENN-SYLVANIA
686,U.S.A.
687,"District of Columbia, USA"
688,"Doha, Qatar"
689,
690,
691,
692,
693,"Minneapolis, MN"
694,
695,Midwest
696,"London, England"
697,"Lahore, Pakistan"
698,"Shillong, Scotland of the East"
699,
700,Russellville Arkansas
701,Planet Earth
702,"Lagos, Nigeria"
703,Southern hemisphere
704,US
705,
706,"Dhaka, Bangladesh"
707,"London, UK & Worldwide"
708,"New Delhi, India"
709,CEO Twelve 9 Recs JAMAICA 
710,"New York, USA"
711,"Ohio, USA"
712,Liverpool
713,
714,United States - in 20 states
715,"Las Vegas, NV"
716,In a box of beanie babies
717,London/ Essex
718,
719,Garrucha(Almeria)
720,Mediterranean
721,Manchester
722,Manchester UK
723,"Leeds, West Yorkshire"
724,"SA, UK, France, Netherlands"
725,God’s Own Country
726,Mumbai (BOMBAY) Bharat (INDIA)
727,
728,"Cape Town, South Africa"
729,"Ontario, CA & uk "
730,Bangalore / Online Everywhere
731,Australia
732,
733,Kenya
734,
735,"Tilburg, Nederland"
736,
737,
738,"Valencia, Spain"
739,
740,"City of London, London"
741,NE Ohio
742,Kansas
743,
744,Texas
745,
746,
747,"Brooklyn, NYC"
748,"Dallas, TX"
749,
750,"Prescott, AZ"
751,
752,"South Carolina, USA"
753,
754,
755,名古屋市天白区
756,"Ontario, CA & uk "
757,"New Jersey, USA"
758,
759,"Jakarta, Indonesia"
760,
761,
762,"Philadelphia, PA"
763,"Philadelphia, PA"
764,"Wisconsin, USA"
765,"Athens, GA"
766,"Leicestershire, England"
767,Cape Breton
768,"Monterey, CA"
769,"North Carolina, USA"
770,"San Diego, CA"
771,Greater Orlando Area.
772,London
773,UK
774,"Omaha, NE"
775,"Washington, DC"
776,"Brighton, East Sussex"
777,
778,sactown
779,
780,
781,Roma
782,United States
783,
784,"Bainbridge Island, WA"
785,"Omelas, Alas"
786,"Los Angeles, CA"
787,"Los Angeles, CA"
788,
789,"London, England"
790,"London, England"
791,"London, England"
792,"London, England"
793,Arizona
794,Brooklyn
795,"Nairobi, Kenya"
796,SA/South Korea/Singapore/Macau
797,South Africa
798,Florida
799,
800,United Kingdom
801,
802,England
803,
804,"Roseville, CA"
805,Edmonton
806,"Philadelphia, PA"
807,4075 Wilson Blvd Arlington VA
808,
809,China
810,
811,"Roma, Lazio"
812,"London, uk"
813,
814,Hong Kong
815,Barcelona
816,"North East, England"
817,Pondok Indah Mertua
818,"Winston-Salem, NC"
819,"London, UK & Worldwide"
820,London
821,East Tennessee
822,"Boston, Ma"
823,"Mumbai, India"
824,20+ Years in Marketing 
825,"Fochabers, Scotland"
826,London
827,"Fochabers, Scotland"
828,香港
829,"Bakersfield, CA"
830,
831,City of Bradford
832,"Kent, UK"
833,"Kings Langley, Hertfordshire"
834,Kenya
835,Shibuya Hachiko
836,
837,Near Miracle Garden Barsha Sth
838,
839,
840,"Brittany, France"
841,https://youtu.be/-fLto4hD2n4
842,West Yorkshire 
843,"Prescott, AZ"
844,Addis Ababa
845,"Bedford, MA"
846,florida
847,"New Jersey, USA"
848,United States
849,Greater Orlando Area.
850,
851,
852,"Chicago, IL"
853,Where the Youngstas Get Hyphy
854,
855,
856,
857,USA
858,"Bedford, MA"
859,Homestead Florida
860,Miami Florida
861,"Prescott, AZ"
862,Añasco PR
863,"Prescott, AZ"
864,"Berkeley, CA"
865,"Ventura County, CA"
866,"California, USA"
867,virtual
868,Toronto
869,🇨🇦🏕🍂🧀🐾🎄🌱❄️🎃
870,South Coast of England
871,Earth
872,Greater Toronto Area
873,"San Francisco, CA"
874,"Norman, OK"
875,"Albany, NY."
876,
877,"Ventura County, CA"
878,
879,
880,
881,"Chorlton, Manchester"
882,Dominican Republic
883,"Melbourne, Victoria"
884,
885,earth
886,Uganda
887,Brooklyn
888,"California, USA"
889,
890,
891,"New York, United States"
892,Ireland
893,United Kingdom
894,
895,"Nairobi, Kenya"
896,"Los Angeles, CA"
897,
898,"San Lorenzo, RM"
899,"Cleveland, OH"
900,
901,U.S.A.
902,
903,"Dhaka, Bangladesh"
904,all the rainbown
905,
906,Hong Kong
907,
908,"Melbourne, Victoria"
909,"Sussex, England"
910,
911,"Kilifi County,Kenya"
912,"Texas, USA"
913,"Poplarville, MS"
914,
915,
916,"Melbourne, Victoria, Australia"
917,Garrucha(Almeria)
918,"Staten Island, NY"
919,"Palo Alto, CA"
920,"London, England"
921,
922,"Kentucky, USA"
923,"Nairobi, Kenya"
924,"Sheffield, England"
925,
926,"Trainer, PA"
927,
928,"Makueni, Kenya"
